àùTerritory,Year,Sex,Age,Quantity
IT,2019,Male,TOTAL,2414285
IT,2020,Male,TOTAL,2431678
IT,2021,Male,TOTAL,2524644
IT,2022,Male,TOTAL,2468202
IT,2023,Male,TOTAL,2472725
IT,2019,Male,Y_GE100,36
IT,2020,Male,Y_GE100,45
IT,2021,Male,Y_GE100,54
IT,2022,Male,Y_GE100,64
IT,2023,Male,Y_GE100,64
IT,2019,Male,0,31553
IT,2020,Male,0,30882
IT,2021,Male,0,30943
IT,2022,Male,0,27466
IT,2023,Male,0,28790
IT,2019,Male,1,33498
IT,2020,Male,1,31605
IT,2021,Male,1,31297
IT,2022,Male,1,29814
IT,2023,Male,1,27299
IT,2019,Male,10,28939
IT,2020,Male,10,29892
IT,2021,Male,10,30048
IT,2022,Male,10,30463
IT,2023,Male,10,32208
IT,2019,Male,11,27409
IT,2020,Male,11,28533
IT,2021,Male,11,29480
IT,2022,Male,11,29875
IT,2023,Male,11,30339
IT,2019,Male,12,26247
IT,2020,Male,12,27205
IT,2021,Male,12,28446
IT,2022,Male,12,29204
IT,2023,Male,12,29775
IT,2019,Male,13,24445
IT,2020,Male,13,26209
IT,2021,Male,13,27393
IT,2022,Male,13,28298
IT,2023,Male,13,29135
IT,2019,Male,14,23554
IT,2020,Male,14,24568
IT,2021,Male,14,26508
IT,2022,Male,14,27400
IT,2023,Male,14,28535
IT,2019,Male,15,22096
IT,2020,Male,15,23888
IT,2021,Male,15,25257
IT,2022,Male,15,26629
IT,2023,Male,15,27841
IT,2019,Male,16,22550
IT,2020,Male,16,22625
IT,2021,Male,16,24644
IT,2022,Male,16,25489
IT,2023,Male,16,27291
IT,2019,Male,17,24220
IT,2020,Male,17,23487
IT,2021,Male,17,23681
IT,2022,Male,17,25783
IT,2023,Male,17,26408
IT,2019,Male,18,27545
IT,2020,Male,18,23693
IT,2021,Male,18,22414
IT,2022,Male,18,22016
IT,2023,Male,18,26870
IT,2019,Male,19,33681
IT,2020,Male,19,28197
IT,2021,Male,19,25603
IT,2022,Male,19,22307
IT,2023,Male,19,23550
IT,2019,Male,2,33814
IT,2020,Male,2,33289
IT,2021,Male,2,32613
IT,2022,Male,2,31360
IT,2023,Male,2,29639
IT,2019,Male,20,40047
IT,2020,Male,20,34679
IT,2021,Male,20,32498
IT,2022,Male,20,25818
IT,2023,Male,20,24027
IT,2019,Male,21,39578
IT,2020,Male,21,39905
IT,2021,Male,21,39409
IT,2022,Male,21,31723
IT,2023,Male,21,27529
IT,2019,Male,22,39297
IT,2020,Male,22,39215
IT,2021,Male,22,44880
IT,2022,Male,22,37142
IT,2023,Male,22,33254
IT,2019,Male,23,39063
IT,2020,Male,23,39036
IT,2021,Male,23,44050
IT,2022,Male,23,41630
IT,2023,Male,23,38638
IT,2019,Male,24,39197
IT,2020,Male,24,39212
IT,2021,Male,24,43992
IT,2022,Male,24,41099
IT,2023,Male,24,43096
IT,2019,Male,25,38788
IT,2020,Male,25,39545
IT,2021,Male,25,44080
IT,2022,Male,25,41531
IT,2023,Male,25,42940
IT,2019,Male,26,42366
IT,2020,Male,26,39437
IT,2021,Male,26,44143
IT,2022,Male,26,41827
IT,2023,Male,26,43666
IT,2019,Male,27,42166
IT,2020,Male,27,43021
IT,2021,Male,27,43478
IT,2022,Male,27,42177
IT,2023,Male,27,43865
IT,2019,Male,28,47695
IT,2020,Male,28,42944
IT,2021,Male,28,47164
IT,2022,Male,28,41738
IT,2023,Male,28,44246
IT,2019,Male,29,49138
IT,2020,Male,29,48218
IT,2021,Male,29,46016
IT,2022,Male,29,45217
IT,2023,Male,29,43876
IT,2019,Male,3,33307
IT,2020,Male,3,33589
IT,2021,Male,3,34473
IT,2022,Male,3,32481
IT,2023,Male,3,31066
IT,2019,Male,30,52836
IT,2020,Male,30,49555
IT,2021,Male,30,51287
IT,2022,Male,30,44138
IT,2023,Male,30,46794
IT,2019,Male,31,54533
IT,2020,Male,31,53155
IT,2021,Male,31,51872
IT,2022,Male,31,49308
IT,2023,Male,31,45787
IT,2019,Male,32,55666
IT,2020,Male,32,54765
IT,2021,Male,32,55403
IT,2022,Male,32,50044
IT,2023,Male,32,50360
IT,2019,Male,33,55646
IT,2020,Male,33,55794
IT,2021,Male,33,56936
IT,2022,Male,33,53998
IT,2023,Male,33,50529
IT,2019,Male,34,56769
IT,2020,Male,34,55704
IT,2021,Male,34,57539
IT,2022,Male,34,55283
IT,2023,Male,34,54089
IT,2019,Male,35,55382
IT,2020,Male,35,56742
IT,2021,Male,35,57270
IT,2022,Male,35,56005
IT,2023,Male,35,54983
IT,2019,Male,36,58100
IT,2020,Male,36,55271
IT,2021,Male,36,58041
IT,2022,Male,36,55880
IT,2023,Male,36,55353
IT,2019,Male,37,56890
IT,2020,Male,37,57867
IT,2021,Male,37,56816
IT,2022,Male,37,56478
IT,2023,Male,37,55079
IT,2019,Male,38,59848
IT,2020,Male,38,56606
IT,2021,Male,38,59216
IT,2022,Male,38,55065
IT,2023,Male,38,55495
IT,2019,Male,39,57217
IT,2020,Male,39,59397
IT,2021,Male,39,57764
IT,2022,Male,39,57551
IT,2023,Male,39,53720
IT,2019,Male,4,33717
IT,2020,Male,4,33106
IT,2021,Male,4,35141
IT,2022,Male,4,34147
IT,2023,Male,4,32287
IT,2019,Male,40,56845
IT,2020,Male,40,56558
IT,2021,Male,40,60224
IT,2022,Male,40,55875
IT,2023,Male,40,55900
IT,2019,Male,41,54377
IT,2020,Male,41,56135
IT,2021,Male,41,57033
IT,2022,Male,41,58351
IT,2023,Male,41,54242
IT,2019,Male,42,52279
IT,2020,Male,42,53622
IT,2021,Male,42,56498
IT,2022,Male,42,55222
IT,2023,Male,42,56297
IT,2019,Male,43,50311
IT,2020,Male,43,51604
IT,2021,Male,43,54049
