,Year,Territory,ACT_ED_1,,ACT_ED_2,,ACT_ED_3,,UNEMP_ED_1,,UNEMP_ED_2,,UNEMP_ED_3,,total_x,,total_y,
Citizenship,,,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian
0,2018,Centro (I),16496.58.00,14871.18.00,11885.02.00,7046.33.00,2146.50.00,9197.48.00,2608.47.00,5954.25.00,13959.10.00,6304.20.00,13411.21.00,16452.18.00,7567.47.00,11281.03.00,9615.13.00,13304.53.00
1,2018,Mezzogiorno,1694.44.00,9672.23.00,3198.12.00,14354.02.00,9148.45.00,10725.07.00,9519.34.00,3619.28.00,16087.03.00,4253.44.00,3183.30.00,657.01.00,798.00.00,9458.54.00,11988.37.00,3950.06.00
2,2018,Nord,4897.19.00,5404.40.00,6669.17.00,14470.03.00,11516.24.00,2449.16.00,8206.11.00,11057.50.00,13043.09.00,9118.53.00,2299.13.00,5601.46.00,2197.51.00,9999.57.00,15591.58.00,5565.51.00
3,2018,Nord-est,7964.14.00,9335.46.00,11891.14.00,11022.30.00,8201.57.00,12155.18.00,6381.24.00,11312.53.00,10333.34.00,14162.11.00,13673.27.00,2335.48.00,8012.12.00,15691.51.00,6355.08.00,13414.18.00
4,2018,Nord-ovest,13445.41.00,2666.40.00,5298.57.00,4416.37.00,13867.30.00,7408.00.00,15722.10.00,6005.56.00,15349.18.00,1478.39.00,10962.14.00,7905.50.00,14728.58.00,1456.53.00,10366.32.00,16493.26.00
5,2019,Centro (I),10330.05.00,2557.30.00,13025.18.00,91.06.00,15693.00.00,14566.57.00,9486.57.00,13793.52.00,8593.51.00,3227.54.00,7249.07.00,1706.01.00,14114.58.00,11983.37.00,9065.05.00,10782.46.00
6,2019,Mezzogiorno,989.15.00,10753.09.00,3032.15.00,2484.33.00,14084.06.00,1702.27.00,15425.39.00,2861.50.00,4136.53.00,11440.48.00,13961.58.00,4954.41.00,8792.26.00,11036.39.00,4184.46.00,2772.31.00
7,2019,Nord,4359.58.00,11867.28.00,7256.04.00,489.37.00,11966.07.00,15256.20.00,8672.35.00,9149.50.00,3214.48.00,14701.46.00,6540.08.00,1621.27.00,3733.11.00,2844.43.00,15065.10.00,11353.14.00
8,2019,Nord-est,11809.54.00,4985.21.00,15724.51.00,7536.27.00,15797.59.00,7355.13.00,6793.07.00,3375.43.00,3518.59.00,2121.04.00,1146.17.00,4142.21.00,7604.52.00,7585.19.00,12062.40.00,4281.21.00
