DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2013,60219,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2014,67002,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2015,68797,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2016,64699,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2017,64353,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2018,65327,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,AT,2019,68121,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2013,63930,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2014,64416,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2015,61840,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2016,58855,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2017,60151,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2018,63924,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BE,2019,69022,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2013,1626,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2014,1442,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2015,1435,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2016,1310,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2017,649,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2018,1038,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,BG,2019,1222,p
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,CH,2013,96838,
ESTAT:MIGR_IMM1CTZ$DEFAULTVIEW(1.0),29/03/23 15:37:00,A,EU28_FOR,REACH,TOTAL,NR,T,CH,2014,94353,
