"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2018","2018",84.48973,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2019","2019",84.137185,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2020","2020",82.260744,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2021","2021",82.684206,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2022","2022",83.823293,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018","2018",90.329706,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019","2019",90.279273,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020","2020",88.52857,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021","2021",89.102708,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022","2022",90.171818,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2018","2018",78.575512,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2018-Q2","Q2-2018",78.866476,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2018-Q1","Q1-2018",78.07857,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2018-Q4","Q4-2018",78.780967,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2018-Q3","Q3-2018",78.575796,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2019","2019",78.417591,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2019-Q1","Q1-2019",78.677991,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2019-Q2","Q2-2019",78.345322,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2019-Q4","Q4-2019",78.282092,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2019-Q3","Q3-2019",78.364668,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2020","2020",76.597773,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2020-Q2","Q2-2020",75.608229,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2020-Q1","Q1-2020",77.548071,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2020-Q3","Q3-2020",76.921481,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2020-Q4","Q4-2020",76.314136,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2021","2021",76.62285,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2022","2022",77.823732,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2021-Q1","Q1-2021",75.518128,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2021-Q2","Q2-2021",76.44276,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2021-Q3","Q3-2021",77.053366,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2021-Q4","Q4-2021",77.486649,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2022-Q1","Q1-2022",77.242271,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2022-Q2","Q2-2022",77.931617,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2022-Q3","Q3-2022",78.057412,,
"ITCD","Nord","ACT_R","activity rate","1","males","Y15-64","15-64 years","99","total","ITL","italian","2022-Q4","Q4-2022",78.06481,,
"ITCD","Nord","ACT_R","activity rate","2","females","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2018","2018",70.656682,,
"ITCD","Nord","ACT_R","activity rate","2","females","Y15-64","15-64 years","7","upper and post secondary","ITL","italian","2019","2019",71.695625,,
