"ITTER107","Territory","TIPO_DATO7","Data type","ISO_A","Country of birth","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.55,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.7,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",11.99,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",12.45,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",12.59,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.98,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",12.09,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",12.25,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.55,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.48,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.64,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",11.91,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",10.38,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",10.5,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",10.75,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",10.65,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",10.75,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",10.95,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",13.86,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",14.11,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",14.57,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.27,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",11.4,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",11.7,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",15.62,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",15.59,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",16.48,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.91,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",12.04,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",12.45,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",13.7,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",14.08,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",14.41,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.67,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",11.83,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",12.11,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",13.74,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",14.03,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",14.54,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.14,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",11.27,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",11.58,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.81,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",12.15,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",12.35,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",10.27,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",10.39,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",10.64,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",11.82,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",12.17,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",12.41,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2018","2018",10.58,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2019","2019",10.68,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WORLD","All countries of the world","2020","2020",10.88,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",10.18,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",10.31,,
"IT","Italy","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",10.61,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",10.26,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",10.38,,
"ITC","Nord-ovest","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",10.77,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",10.55,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",10.69,,
"ITD","Nord-est","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",10.94,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",9.94,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",10.07,,
"ITE","Centro (I)","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",10.34,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",9.48,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",9.62,,
"ITF","Sud","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",9.79,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2018","2018",9.84,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2019","2019",9.94,,
"ITG","Isole","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","WRL_X_ITA","Foreign countries","2020","2020",10.12,,
"ITC13","Biella","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",19.74,,
"ITC13","Biella","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",20.13,,
"ITC13","Biella","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",20.64,,
"ITC14","Verbano-Cusio-Ossola","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.34,,
"ITC14","Verbano-Cusio-Ossola","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.46,,
"ITC14","Verbano-Cusio-Ossola","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",11.6,,
"ITC15","Novara","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.72,,
"ITC15","Novara","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.85,,
"ITC15","Novara","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",8.96,,
"ITC16","Cuneo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",14.24,,
"ITC16","Cuneo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",14.48,,
"ITC16","Cuneo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",14.53,,
"ITC16","Cuneo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",20.31,,
"ITC16","Cuneo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",20.83,,
"ITC16","Cuneo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",20.83,,
"ITC17","Asti","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.86,,
"ITC17","Asti","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",12.02,,
"ITC17","Asti","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.19,,
"ITC18","Alessandria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.67,,
"ITC18","Alessandria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.8,,
"ITC18","Alessandria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",8.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",14.49,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",13.44,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",13.62,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",20.21,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",18.97,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",19.46,,
"ITC20","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.54,,
"ITC20","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.5,,
"ITC20","Valle d'Aosta / Vallée d'Aoste","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",11.76,,
"ITC3","Liguria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.36,,
"ITC3","Liguria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.47,,
"ITC3","Liguria","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",8.66,,
"ITC31","Imperia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",12.69,,
"ITC31","Imperia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",13.09,,
"ITC31","Imperia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",13.13,,
"ITC31","Imperia","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",17.47,,
"ITC31","Imperia","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",18.15,,
"ITC31","Imperia","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",17.93,,
"ITC32","Savona","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.44,,
"ITC32","Savona","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.55,,
"ITC32","Savona","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",11.75,,
"ITC33","Genova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.41,,
"ITC33","Genova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.55,,
"ITC33","Genova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",8.8,,
"ITC34","La Spezia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",13.71,,
"ITC34","La Spezia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",13.91,,
"ITC34","La Spezia","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",14.36,,
"ITD31","Verona","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",21.9,,
"ITD31","Verona","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",22.26,,
"ITD31","Verona","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",22.52,,
"ITD32","Vicenza","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",12.04,,
"ITD32","Vicenza","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",12.27,,
"ITD32","Vicenza","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.41,,
"ITD33","Belluno","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",9.17,,
