"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2018","2018",11.846425,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2018-Q2","Q2-2018",10.008406,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2018-Q1","Q1-2018",14.18598,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2018-Q4","Q4-2018",12.415885,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2018-Q3","Q3-2018",10.844518,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2019","2019",10.331113,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2019-Q1","Q1-2019",10.358202,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2019-Q2","Q2-2019",10.018378,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2019-Q4","Q4-2019",10.32338,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2019-Q3","Q3-2019",10.615615,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2020","2020",13.852231,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2020-Q2","Q2-2020",18.903453,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2020-Q1","Q1-2020",11.199795,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2020-Q3","Q3-2020",12.788469,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2020-Q4","Q4-2020",12.63179,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2021","2021",13.297235,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2021-Q1","Q1-2021",14.228656,,
"IT","Italy","INAC_R","inactivity rate","1","males","Y15-64","15-64 years","7","upper and post secondary","FRG","foreign","2021-Q2","Q2-2021",12.224676,,
