"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","ATECO_2007","NACE 2007","POSIZPROF","Professional status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018","2018",147.69,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q2","Q2-2018",154.228,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q1","Q1-2018",131.9,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q4","Q4-2018",153.152,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q3","Q3-2018",151.48,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",157.453,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",144.875,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",149.755,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",163.065,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",172.118,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",161.05,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",148.311,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",153.834,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",173.237,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",168.819,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",164.842,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",154.819,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",152.213,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",161.29,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",178.666,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",167.199,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q1","Q1-2022",140.943,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q2","Q2-2022",151.199,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q3","Q3-2022",165.078,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q4","Q4-2022",162.058,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018","2018",45.034,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q2","Q2-2018",48.174,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q1","Q1-2018",31.041,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q4","Q4-2018",46.266,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q3","Q3-2018",54.656,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019","2019",49.152,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q1","Q1-2019",43.321,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q2","Q2-2019",42.648,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q4","Q4-2019",51.162,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q3","Q3-2019",59.476,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020","2020",49.485,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q2","Q2-2020",40.675,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q1","Q1-2020",48.849,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q3","Q3-2020",54.736,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q4","Q4-2020",53.681,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021","2021",51.332,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022","2022",45.099,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q1","Q1-2021",42.327,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q2","Q2-2021",56.584,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q3","Q3-2021",55.174,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q4","Q4-2021",51.244,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q1","Q1-2022",34.555,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q2","Q2-2022",45.723,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q3","Q3-2022",56.104,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q4","Q4-2022",44.014,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018","2018",24.346,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q2","Q2-2018",26.496,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q1","Q1-2018",18.437,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q4","Q4-2018",24.598,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q3","Q3-2018",27.851,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",23.287,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",22.897,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",18.79,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",25.828,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",25.634,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",23.988,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",15.193,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",22.039,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",27.956,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",30.764,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",26.497,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",24.45,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",21.687,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",21.759,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",31.23,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",31.312,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q1","Q1-2022",20.43,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q2","Q2-2022",23.774,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q3","Q3-2022",28.378,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q4","Q4-2022",25.217,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018","2018",23.482,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q2","Q2-2018",25.699,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q1","Q1-2018",13.258,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q4","Q4-2018",24.146,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q3","Q3-2018",30.826,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",28.661,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",22.714,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",25.774,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",28.538,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",37.62,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",28.008,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",27.877,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",29.412,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",30.197,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",24.545,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",28.313,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",24.432,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",25.671,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",37.012,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",27.853,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",22.714,,
