"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","PROFESSIONE1","Occupation 2011","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018","2018",485.144,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q2","Q2-2018",489.322,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q1","Q1-2018",469.909,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q4","Q4-2018",477.796,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q3","Q3-2018",503.55,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019","2019",476.944,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q1","Q1-2019",477.503,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q2","Q2-2019",471.196,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q4","Q4-2019",470.349,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q3","Q3-2019",488.73,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020","2020",405.873,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q2","Q2-2020",373.066,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q1","Q1-2020",417.351,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q3","Q3-2020",428.963,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q4","Q4-2020",404.11,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021","2021",436.646,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022","2022",469.707,,
