"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","PROFESSIONE1","Occupation 2011","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018","2018",2337.399,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q2","Q2-2018",2367.031,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q1","Q1-2018",2253.891,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q4","Q4-2018",2330.784,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q3","Q3-2018",2397.889,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019","2019",2379.704,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q1","Q1-2019",2326.565,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q2","Q2-2019",2396.356,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q4","Q4-2019",2365.117,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q3","Q3-2019",2430.78,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020","2020",2204.144,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q2","Q2-2020",2115.858,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q1","Q1-2020",2243.761,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q3","Q3-2020",2263.002,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q4","Q4-2020",2193.956,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021","2021",2257.093,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022","2022",2374.471,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q1","Q1-2021",2102.068,,
