"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018","2018",3.282454,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q2","Q2-2018",3.544497,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q1","Q1-2018",3.131791,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q4","Q4-2018",3.345109,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q3","Q3-2018",3.100643,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019","2019",3.045451,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019-Q1","Q1-2019",3.254543,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019-Q2","Q2-2019",2.547417,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019-Q4","Q4-2019",3.078467,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019-Q3","Q3-2019",3.30548,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020","2020",3.165206,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020-Q2","Q2-2020",2.84452,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020-Q1","Q1-2020",2.809881,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020-Q3","Q3-2020",4.27833,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2020-Q4","Q4-2020",2.754995,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021","2021",2.932903,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022","2022",2.374391,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021-Q1","Q1-2021",3.001633,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021-Q2","Q2-2021",3.211827,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021-Q3","Q3-2021",2.956,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2021-Q4","Q4-2021",2.561318,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022-Q1","Q1-2022",2.427464,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022-Q2","Q2-2022",2.345293,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022-Q3","Q3-2022",2.362856,,
"ITCD","Nord","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2022-Q4","Q4-2022",2.361527,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018","2018",3.418452,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q2","Q2-2018",3.887865,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q1","Q1-2018",3.062286,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q4","Q4-2018",3.402704,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2018-Q3","Q3-2018",3.307336,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019","2019",2.937671,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","ITL","italian","2019-Q1","Q1-2019",3.101491,,
