"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2018","2018",8.646761,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2018-Q2","Q2-2018",8.659502,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2018-Q1","Q1-2018",9.604512,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2018-Q4","Q4-2018",8.946395,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2018-Q3","Q3-2018",7.371238,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2019","2019",7.92864,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2019-Q1","Q1-2019",9.020901,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2019-Q2","Q2-2019",7.789576,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2019-Q4","Q4-2019",7.778828,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2019-Q3","Q3-2019",7.119621,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2020","2020",7.425268,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2020-Q2","Q2-2020",6.484614,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2020-Q1","Q1-2020",7.411457,,
"IT","Italy","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","7","upper and post secondary","ITL","italian","2020-Q3","Q3-2020",7.91367,,
