"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2018",57843,
"AUS","AVWAGE","TOT","USD","A","2019",58620,
"AUS","AVWAGE","TOT","USD","A","2020",60377,
"AUS","AVWAGE","TOT","USD","A","2021",60681.4985470798,
"AUS","AVWAGE","TOT","USD","A","2022",59407.8899794982,
"AUT","AVWAGE","TOT","USD","A","2018",64101,
"AUT","AVWAGE","TOT","USD","A","2019",64623,
"AUT","AVWAGE","TOT","USD","A","2020",64648,
"AUT","AVWAGE","TOT","USD","A","2021",65402.3162965476,
"AUT","AVWAGE","TOT","USD","A","2022",63801.6204977341,
"BEL","AVWAGE","TOT","USD","A","2018",65083,
"BEL","AVWAGE","TOT","USD","A","2019",65700,
"BEL","AVWAGE","TOT","USD","A","2020",63677,
"BEL","AVWAGE","TOT","USD","A","2021",65520.8213051768,
"BEL","AVWAGE","TOT","USD","A","2022",64847.6238808182,
"CAN","AVWAGE","TOT","USD","A","2018",56083,
"CAN","AVWAGE","TOT","USD","A","2019",56370,
"CAN","AVWAGE","TOT","USD","A","2020",59160,
"CAN","AVWAGE","TOT","USD","A","2021",59568.7827892649,
"CAN","AVWAGE","TOT","USD","A","2022",59050.4072819159,
"CZE","AVWAGE","TOT","USD","A","2018",34633,
"CZE","AVWAGE","TOT","USD","A","2019",36071,
"CZE","AVWAGE","TOT","USD","A","2020",35552,
"CZE","AVWAGE","TOT","USD","A","2021",36269.7079920766,
"CZE","AVWAGE","TOT","USD","A","2022",33475.5197359288,
"DNK","AVWAGE","TOT","USD","A","2018",64765,
"DNK","AVWAGE","TOT","USD","A","2019",65222,
"DNK","AVWAGE","TOT","USD","A","2020",66203,
"DNK","AVWAGE","TOT","USD","A","2021",66503.047789185,
"DNK","AVWAGE","TOT","USD","A","2022",64126.6516163185,
"FIN","AVWAGE","TOT","USD","A","2018",50354,
"FIN","AVWAGE","TOT","USD","A","2019",50873,
"FIN","AVWAGE","TOT","USD","A","2020",51092,
"FIN","AVWAGE","TOT","USD","A","2021",52785.319629001,
"FIN","AVWAGE","TOT","USD","A","2022",51835.873940956,
"FRA","AVWAGE","TOT","USD","A","2018",52664,
"FRA","AVWAGE","TOT","USD","A","2019",53172,
"FRA","AVWAGE","TOT","USD","A","2020",50550,
"FRA","AVWAGE","TOT","USD","A","2021",52542.1889164276,
"FRA","AVWAGE","TOT","USD","A","2022",52763.5938000769,
"DEU","AVWAGE","TOT","USD","A","2018",59750,
"DEU","AVWAGE","TOT","USD","A","2019",60732,
"DEU","AVWAGE","TOT","USD","A","2020",60309,
"DEU","AVWAGE","TOT","USD","A","2021",60291.2417705174,
"DEU","AVWAGE","TOT","USD","A","2022",58940.3277991669,
"GRC","AVWAGE","TOT","USD","A","2018",27569,
"GRC","AVWAGE","TOT","USD","A","2019",27615,
"GRC","AVWAGE","TOT","USD","A","2020",27747,
"GRC","AVWAGE","TOT","USD","A","2021",27659.571732801,
"GRC","AVWAGE","TOT","USD","A","2022",25978.9792401445,
"HUN","AVWAGE","TOT","USD","A","2018",26265,
"HUN","AVWAGE","TOT","USD","A","2019",27140,
"HUN","AVWAGE","TOT","USD","A","2020",27588,
"HUN","AVWAGE","TOT","USD","A","2021",28462.42341444,
"HUN","AVWAGE","TOT","USD","A","2022",28474.6432386423,
"IRL","AVWAGE","TOT","USD","A","2018",51852,
"IRL","AVWAGE","TOT","USD","A","2019",52648,
"IRL","AVWAGE","TOT","USD","A","2020",53651,
"IRL","AVWAGE","TOT","USD","A","2021",53209.4763980234,
"IRL","AVWAGE","TOT","USD","A","2022",52242.6173957582,
"ITA","AVWAGE","TOT","USD","A","2018",46230,
"ITA","AVWAGE","TOT","USD","A","2019",46460,
"ITA","AVWAGE","TOT","USD","A","2020",44246,
"ITA","AVWAGE","TOT","USD","A","2021",45960.645620873,
"ITA","AVWAGE","TOT","USD","A","2022",44893.3346677501,
"JPN","AVWAGE","TOT","USD","A","2018",41172,
"JPN","AVWAGE","TOT","USD","A","2019",41699,
"JPN","AVWAGE","TOT","USD","A","2020",41442,
"JPN","AVWAGE","TOT","USD","A","2021",42041.3125511302,
"JPN","AVWAGE","TOT","USD","A","2022",41509.2047666572,
"KOR","AVWAGE","TOT","USD","A","2018",45640,
"KOR","AVWAGE","TOT","USD","A","2019",47207,
"KOR","AVWAGE","TOT","USD","A","2020",48294,
"KOR","AVWAGE","TOT","USD","A","2021",49142.9805200912,
"KOR","AVWAGE","TOT","USD","A","2022",48921.9348572703,
"LUX","AVWAGE","TOT","USD","A","2018",74261,
"LUX","AVWAGE","TOT","USD","A","2019",74399,
"LUX","AVWAGE","TOT","USD","A","2020",74839,
"LUX","AVWAGE","TOT","USD","A","2021",79018.9025259162,
"LUX","AVWAGE","TOT","USD","A","2022",78310.1451192439,
"MEX","AVWAGE","TOT","USD","A","2018",17865,
"MEX","AVWAGE","TOT","USD","A","2019",18031,
"MEX","AVWAGE","TOT","USD","A","2020",17467,
"MEX","AVWAGE","TOT","USD","A","2021",17637.0555458369,
"MEX","AVWAGE","TOT","USD","A","2022",16685.3714700068,
"NLD","AVWAGE","TOT","USD","A","2018",65910,
"NLD","AVWAGE","TOT","USD","A","2019",65449,
"NLD","AVWAGE","TOT","USD","A","2020",67163,
"NLD","AVWAGE","TOT","USD","A","2021",66221.4846031508,
"NLD","AVWAGE","TOT","USD","A","2022",63224.9895974904,
"NOR","AVWAGE","TOT","USD","A","2018",51340,
"NOR","AVWAGE","TOT","USD","A","2019",52273,
"NOR","AVWAGE","TOT","USD","A","2020",52415,
"NOR","AVWAGE","TOT","USD","A","2021",53813.2071587588,
"NOR","AVWAGE","TOT","USD","A","2022",53755.9403720413,
"POL","AVWAGE","TOT","USD","A","2018",34546,
"POL","AVWAGE","TOT","USD","A","2019",36667,
"POL","AVWAGE","TOT","USD","A","2020",37325,
"POL","AVWAGE","TOT","USD","A","2021",37126.6934562862,
"POL","AVWAGE","TOT","USD","A","2022",36896.5592419597,
"PRT","AVWAGE","TOT","USD","A","2018",29919,
"PRT","AVWAGE","TOT","USD","A","2019",31081,
"PRT","AVWAGE","TOT","USD","A","2020",31300,
"PRT","AVWAGE","TOT","USD","A","2021",32089.3779752031,
"PRT","AVWAGE","TOT","USD","A","2022",31921.6599934728,
"SVK","AVWAGE","TOT","USD","A","2018",25862,
"SVK","AVWAGE","TOT","USD","A","2019",26707,
"SVK","AVWAGE","TOT","USD","A","2020",27052,
"SVK","AVWAGE","TOT","USD","A","2021",27546.5790360663,
"SVK","AVWAGE","TOT","USD","A","2022",26262.8435293797,
"ESP","AVWAGE","TOT","USD","A","2018",43975,
"ESP","AVWAGE","TOT","USD","A","2019",44448,
"ESP","AVWAGE","TOT","USD","A","2020",43828,
"ESP","AVWAGE","TOT","USD","A","2021",44443.8899670243,
"ESP","AVWAGE","TOT","USD","A","2022",42859.3360397206,
"SWE","AVWAGE","TOT","USD","A","2018",50041,
"SWE","AVWAGE","TOT","USD","A","2019",50559,
"SWE","AVWAGE","TOT","USD","A","2020",51214,
"SWE","AVWAGE","TOT","USD","A","2021",51928.975473868,
"SWE","AVWAGE","TOT","USD","A","2022",50406.8307417441,
"CHE","AVWAGE","TOT","USD","A","2018",69892,
"CHE","AVWAGE","TOT","USD","A","2019",71189,
"CHE","AVWAGE","TOT","USD","A","2020",69728,
"CHE","AVWAGE","TOT","USD","A","2021",72358.4396707178,
"CHE","AVWAGE","TOT","USD","A","2022",72993.0243352433,
"GBR","AVWAGE","TOT","USD","A","2018",53950,
"GBR","AVWAGE","TOT","USD","A","2019",54703,
"GBR","AVWAGE","TOT","USD","A","2020",53612,
"GBR","AVWAGE","TOT","USD","A","2021",54762.303325297,
"GBR","AVWAGE","TOT","USD","A","2022",53985.0604733962,
"USA","AVWAGE","TOT","USD","A","2018",71937,
"USA","AVWAGE","TOT","USD","A","2019",73194,
"USA","AVWAGE","TOT","USD","A","2020",77567,
"USA","AVWAGE","TOT","USD","A","2021",78894.280607394,
"USA","AVWAGE","TOT","USD","A","2022",77463.4730245547,
"EST","AVWAGE","TOT","USD","A","2018",31391,
"EST","AVWAGE","TOT","USD","A","2019",33006,
"EST","AVWAGE","TOT","USD","A","2020",35128,
"EST","AVWAGE","TOT","USD","A","2021",37317.8229724108,
"EST","AVWAGE","TOT","USD","A","2022",34704.5715238033,
"ISR","AVWAGE","TOT","USD","A","2018",41059,
"ISR","AVWAGE","TOT","USD","A","2019",41964,
"ISR","AVWAGE","TOT","USD","A","2020",42130,
"ISR","AVWAGE","TOT","USD","A","2021",44338.8688693076,
"ISR","AVWAGE","TOT","USD","A","2022",44155.9454178794,
"SVN","AVWAGE","TOT","USD","A","2018",45702,
"SVN","AVWAGE","TOT","USD","A","2019",47050,
"SVN","AVWAGE","TOT","USD","A","2020",48605,
