"COUNTRY","Country","BIRTH","Place of birth","GENDER","Gender","RATE","Rate","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,79.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,79.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,78.3,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,81,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,4.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,6.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,83.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,83.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,83.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,85.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,64.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,65.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,64,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,67.8,,
