"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","HUR","TOT","PC_LF","A","2003",8.433333,"B"
"ITA","HUR","TOT","PC_LF","A","2004",8.05,
"ITA","HUR","TOT","PC_LF","A","2005",7.783333,
"ITA","HUR","TOT","PC_LF","A","2006",6.866667,
"ITA","HUR","TOT","PC_LF","A","2007",6.15,
"ITA","HUR","TOT","PC_LF","A","2008",6.775,
"ITA","HUR","TOT","PC_LF","A","2009",7.875,
"ITA","HUR","TOT","PC_LF","A","2010",8.541667,
"ITA","HUR","TOT","PC_LF","A","2011",8.508333,
"ITA","HUR","TOT","PC_LF","A","2012",10.88333,
"ITA","HUR","TOT","PC_LF","A","2013",12.36667,
"ITA","HUR","TOT","PC_LF","A","2014",12.825,
"ITA","HUR","TOT","PC_LF","A","2015",12,
"ITA","HUR","TOT","PC_LF","A","2016",11.75,
"ITA","HUR","TOT","PC_LF","A","2017",11.25833,
"ITA","HUR","TOT","PC_LF","A","2018",10.6,
"ITA","HUR","TOT","PC_LF","A","2019",9.933333,
"ITA","HUR","TOT","PC_LF","A","2020",9.3,
"ITA","HUR","TOT","PC_LF","A","2021",9.558333,
"OECD","HUR","TOT","PC_LF","A","2005",6.863361,"E"
"OECD","HUR","TOT","PC_LF","A","2006",6.353157,"E"
"OECD","HUR","TOT","PC_LF","A","2007",5.858229,"E"
"OECD","HUR","TOT","PC_LF","A","2008",6.187845,"E"
"OECD","HUR","TOT","PC_LF","A","2009",8.313182,"E"
"OECD","HUR","TOT","PC_LF","A","2010",8.534652,"E"
"OECD","HUR","TOT","PC_LF","A","2011",8.126883,"E"
"OECD","HUR","TOT","PC_LF","A","2012",8.107555,"E"
"OECD","HUR","TOT","PC_LF","A","2013",8.013521,"E"
"OECD","HUR","TOT","PC_LF","A","2014",7.455067,"E"
"OECD","HUR","TOT","PC_LF","A","2015",6.888381,"E"
"OECD","HUR","TOT","PC_LF","A","2016",6.470102,"E"
"OECD","HUR","TOT","PC_LF","A","2017",5.940654,"E"
"OECD","HUR","TOT","PC_LF","A","2018",5.491814,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.418824,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.164883,"E"
"OECD","HUR","TOT","PC_LF","A","2021",6.163191,"E"
