"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2018",5.30767,
"AUS","HUR","TOT","PC_LF","A","2019",5.166878,
"AUS","HUR","TOT","PC_LF","A","2020",6.463281,
"AUS","HUR","TOT","PC_LF","A","2021",5.113585,
"AUT","HUR","TOT","PC_LF","A","2018",5.208333,
"AUT","HUR","TOT","PC_LF","A","2019",4.841667,
"AUT","HUR","TOT","PC_LF","A","2020",6.025,
"AUT","HUR","TOT","PC_LF","A","2021",6.2,
"BEL","HUR","TOT","PC_LF","A","2018",5.958333,
"BEL","HUR","TOT","PC_LF","A","2019",5.366667,
"BEL","HUR","TOT","PC_LF","A","2020",5.541667,
"BEL","HUR","TOT","PC_LF","A","2021",6.275,
"CAN","HUR","TOT","PC_LF","A","2018",5.841667,
"CAN","HUR","TOT","PC_LF","A","2019",5.691667,
"CAN","HUR","TOT","PC_LF","A","2020",9.691667,
"CAN","HUR","TOT","PC_LF","A","2021",7.541667,
"CZE","HUR","TOT","PC_LF","A","2018",2.266667,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"CZE","HUR","TOT","PC_LF","A","2020",2.55,
"CZE","HUR","TOT","PC_LF","A","2021",2.808333,
"DNK","HUR","TOT","PC_LF","A","2018",5.15,
"DNK","HUR","TOT","PC_LF","A","2019",5.025,
"DNK","HUR","TOT","PC_LF","A","2020",5.625,
"DNK","HUR","TOT","PC_LF","A","2021",5.1,
"FIN","HUR","TOT","PC_LF","A","2018",7.433333,
"FIN","HUR","TOT","PC_LF","A","2019",6.741667,
"FIN","HUR","TOT","PC_LF","A","2020",7.725,
"FIN","HUR","TOT","PC_LF","A","2021",7.675,
"FRA","HUR","TOT","PC_LF","A","2018",9.025,
"FRA","HUR","TOT","PC_LF","A","2019",8.433333,
"FRA","HUR","TOT","PC_LF","A","2020",8.033334,
"FRA","HUR","TOT","PC_LF","A","2021",7.875,
"DEU","HUR","TOT","PC_LF","A","2018",3.208333,
"DEU","HUR","TOT","PC_LF","A","2019",2.975,
"DEU","HUR","TOT","PC_LF","A","2020",3.625,
"DEU","HUR","TOT","PC_LF","A","2021",3.575,
"GRC","HUR","TOT","PC_LF","A","2018",19.74167,
"GRC","HUR","TOT","PC_LF","A","2019",17.88333,
"GRC","HUR","TOT","PC_LF","A","2020",17.61667,
"GRC","HUR","TOT","PC_LF","A","2021",14.79167,
"HUN","HUR","TOT","PC_LF","A","2018",3.525,
"HUN","HUR","TOT","PC_LF","A","2019",3.25,
"HUN","HUR","TOT","PC_LF","A","2020",4.141667,
"HUN","HUR","TOT","PC_LF","A","2021",4.041667,
"ISL","HUR","TOT","PC_LF","A","2018",3.1,
"ISL","HUR","TOT","PC_LF","A","2019",3.933333,
"ISL","HUR","TOT","PC_LF","A","2020",6.433333,
"ISL","HUR","TOT","PC_LF","A","2021",6.008333,
"IRL","HUR","TOT","PC_LF","A","2018",5.775,
"IRL","HUR","TOT","PC_LF","A","2019",4.975,
"IRL","HUR","TOT","PC_LF","A","2020",5.85,
"IRL","HUR","TOT","PC_LF","A","2021",6.266667,
"ITA","HUR","TOT","PC_LF","A","2018",10.6,
"ITA","HUR","TOT","PC_LF","A","2019",9.933333,
"ITA","HUR","TOT","PC_LF","A","2020",9.3,
"ITA","HUR","TOT","PC_LF","A","2021",9.558333,
