,Territory,Data type,Gender,Highest level of education attained,Citizenship,TIME,Value
70,Nord,activity rate,total,upper and post secondary,italian,2018,77.75235
75,Nord,activity rate,total,upper and post secondary,italian,2019,78.047852
80,Nord,activity rate,total,upper and post secondary,italian,2020,75.89337
85,Nord,activity rate,total,upper and post secondary,italian,2021,76.125884
86,Nord,activity rate,total,upper and post secondary,italian,2022,77.425111
95,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,88.124394
100,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,88.023148
105,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,86.1846
110,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.397188
111,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.222923
120,Nord,activity rate,total,total,italian,2018,72.108706
125,Nord,activity rate,total,total,italian,2019,72.466486
130,Nord,activity rate,total,total,italian,2020,70.649355
135,Nord,activity rate,total,total,italian,2021,70.980247
136,Nord,activity rate,total,total,italian,2022,72.058117
215,Nord-ovest,activity rate,total,upper and post secondary,italian,2018,77.304277
220,Nord-ovest,activity rate,total,upper and post secondary,italian,2019,77.117846
225,Nord-ovest,activity rate,total,upper and post secondary,italian,2020,75.224506
230,Nord-ovest,activity rate,total,upper and post secondary,italian,2021,75.95458
231,Nord-ovest,activity rate,total,upper and post secondary,italian,2022,76.895364
240,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,88.503542
245,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,88.427302
250,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,86.609288
255,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.640197
256,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.373877
265,Nord-ovest,activity rate,total,total,italian,2018,71.837335
270,Nord-ovest,activity rate,total,total,italian,2019,72.1175
275,Nord-ovest,activity rate,total,total,italian,2020,70.236956
280,Nord-ovest,activity rate,total,total,italian,2021,70.826443
281,Nord-ovest,activity rate,total,total,italian,2022,71.735278
360,Nord-est,activity rate,total,upper and post secondary,italian,2018,78.337087
365,Nord-est,activity rate,total,upper and post secondary,italian,2019,79.278092
370,Nord-est,activity rate,total,upper and post secondary,italian,2020,76.782985
375,Nord-est,activity rate,total,upper and post secondary,italian,2021,76.352697
376,Nord-est,activity rate,total,upper and post secondary,italian,2022,78.131516
