DATAFLOW,LAST UPDATE,freq,unit,lev_know,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,AL,2016,23.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,AT,2007,24.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,AT,2011,20.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,AT,2016,15.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BA,2016,42.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BE,2007,37.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BE,2011,27.7,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BE,2016,24.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BG,2007,57.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BG,2011,34.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,BG,2016,24.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CH,2011,9.2,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CH,2016,31.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CY,2007,10.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CY,2011,7.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CY,2016,9.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CZ,2007,45.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CZ,2011,24.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,CZ,2016,39.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,DE,2007,40.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,DE,2011,38.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,DE,2016,32.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,DK,2011,16.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,DK,2016,8.1,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EA19,2007,37.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EA19,2011,35.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EA19,2016,33.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EE,2007,22.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EE,2011,23.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EE,2016,27.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EL,2007,31.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EL,2011,26.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EL,2016,13.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,ES,2007,37.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,ES,2011,30.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,ES,2016,27.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU27_2020,2007,39.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU27_2020,2011,33.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU27_2020,2016,32.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU28,2007,43.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU28,2011,33.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,EU28,2016,33.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FI,2007,18.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FI,2011,11.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FI,2016,12.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FR,2007,48.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FR,2011,39.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,FR,2016,44.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,HR,2007,30.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,HR,2016,20.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,HU,2007,36.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,HU,2011,36.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,HU,2016,31.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,IE,2016,42.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,IT,2011,54.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,IT,2016,52.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LT,2007,27.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LT,2011,22.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LT,2016,25.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LU,2011,10.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LU,2016,8.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LV,2007,21.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LV,2011,17.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,LV,2016,22.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,MK,2016,25.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,MT,2011,5.2,bu
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,MT,2016,,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,NL,2011,12.4,bu
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,NL,2016,21.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,NO,2007,8.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,NO,2011,5.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,NO,2016,9.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2007,56.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2011,36.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2016,32.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2007,29.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2011,29.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2016,31.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RO,2007,46.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RO,2016,37.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RS,2011,28.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RS,2016,24.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2007,6.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2011,8.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2016,7.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2007,11.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2011,12.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2016,10.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2007,22.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2011,25.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2016,22.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,TR,2007,79.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,TR,2011,58.9,b
