,Territory,Data type,Gender,Highest level of education attained,Citizenship,TIME,Value
1450,Italy,unemployment rate,males,total,total,2018,9.938983
1455,Italy,unemployment rate,males,total,total,2019,9.274854
1460,Italy,unemployment rate,males,total,total,2020,8.76976
1465,Italy,unemployment rate,males,total,total,2021,8.87436
1466,Italy,unemployment rate,males,total,total,2022,7.278443
1475,Italy,unemployment rate,females,total,total,2018,11.869912
1480,Italy,unemployment rate,females,total,total,2019,11.219631
1485,Italy,unemployment rate,females,total,total,2020,10.549013
1490,Italy,unemployment rate,females,total,total,2021,10.803369
1491,Italy,unemployment rate,females,total,total,2022,9.477467
1500,Italy,unemployment rate,total,total,total,2018,10.769732
1505,Italy,unemployment rate,total,total,total,2019,10.113914
1510,Italy,unemployment rate,total,total,total,2020,9.530288
1515,Italy,unemployment rate,total,total,total,2021,9.704693
1516,Italy,unemployment rate,total,total,total,2022,8.226226
2349,Italy,unemployment rate,males,upper and post secondary,total,2018,8.88637
2354,Italy,unemployment rate,males,upper and post secondary,total,2019,8.156586
2359,Italy,unemployment rate,males,upper and post secondary,total,2020,7.633196
2364,Italy,unemployment rate,males,upper and post secondary,total,2021,7.836107
2365,Italy,unemployment rate,males,upper and post secondary,total,2022,6.330455
2549,Italy,unemployment rate,total,total,total,2018,10.584862
2554,Italy,unemployment rate,total,total,total,2019,9.934087
2559,Italy,unemployment rate,total,total,total,2020,9.348279
2564,Italy,unemployment rate,total,total,total,2021,9.532253
2565,Italy,unemployment rate,total,total,total,2022,8.092089
2774,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2018,6.95555
2779,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2019,6.517003
2784,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2020,6.274885
2789,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2021,5.668787
2790,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2022,4.757895
2849,Italy,unemployment rate,total,upper and post secondary,total,2018,10.064872
2854,Italy,unemployment rate,total,upper and post secondary,total,2019,9.389234
2859,Italy,unemployment rate,total,upper and post secondary,total,2020,8.822461
2864,Italy,unemployment rate,total,upper and post secondary,total,2021,9.204573
2865,Italy,unemployment rate,total,upper and post secondary,total,2022,7.760414
3024,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2018,4.604819
3029,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2019,4.66677
3034,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2020,4.326937
3039,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2021,4.30531
3040,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2022,3.262132
3099,Italy,unemployment rate,females,total,total,2018,11.724302
3104,Italy,unemployment rate,females,total,total,2019,11.050233
3109,Italy,unemployment rate,females,total,total,2020,10.381348
3114,Italy,unemployment rate,females,total,total,2021,10.641733
3115,Italy,unemployment rate,females,total,total,2022,9.361424
3174,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2018,5.901777
3179,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2019,5.688709
3184,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2020,5.401672
3189,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2021,5.06617
3190,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2022,4.097812
3324,Italy,unemployment rate,females,upper and post secondary,total,2018,11.629448
3329,Italy,unemployment rate,females,upper and post secondary,total,2019,11.009726
3334,Italy,unemployment rate,females,upper and post secondary,total,2020,10.414644
3339,Italy,unemployment rate,females,upper and post secondary,total,2021,11.025866
3340,Italy,unemployment rate,females,upper and post secondary,total,2022,9.659819
3449,Italy,unemployment rate,males,total,total,2018,9.733529
3454,Italy,unemployment rate,males,total,total,2019,9.095009
3459,Italy,unemployment rate,males,total,total,2020,8.58323
3464,Italy,unemployment rate,males,total,total,2021,8.702505
3465,Italy,unemployment rate,males,total,total,2022,7.139656
3699,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2018,7.040268
3704,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2019,6.614231
3709,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2020,6.369774
3714,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2021,5.732224
3715,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2022,4.787495
4024,Italy,unemployment rate,males,upper and post secondary,total,2018,8.692199
4029,Italy,unemployment rate,males,upper and post secondary,total,2019,7.928539
4034,Italy,unemployment rate,males,upper and post secondary,total,2020,7.433111
4039,Italy,unemployment rate,males,upper and post secondary,total,2021,7.556077
4040,Italy,unemployment rate,males,upper and post secondary,total,2022,6.113805
4649,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2018,7.043476
4654,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2019,6.614231
4659,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2020,6.369615
4664,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2021,5.732224
4665,Italy,unemployment rate,females,"tertiary (university, doctoral and specialization courses)",total,2022,4.787495
4774,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2018,17.586201
4779,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2019,16.8688
4784,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2020,15.916499
4789,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2021,16.675182
4790,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2022,15.09769
