,Territory,Citizenship,Year,UNEMP_ED_1,UNEMP_ED_3,total_x,UNEMP_ED_2,ACT_ED_1,ACT_ED_3,total_y,ACT_ED_2
0,Centro (I),foreign,2018,15.155626666666668,10.804080666666666,14.453227333333333,14.836709999999998,70.98561766666667,77.12419,73.572533,75.70860233333333
1,Centro (I),foreign,2019,13.568436666666665,11.434287,14.846058333333334,17.514611,70.61560533333333,75.93707966666666,73.53952466666667,76.77695833333333
2,Centro (I),foreign,2020,13.153745666666666,8.624534666666667,12.778524666666668,13.542031666666666,66.39947000000001,68.671068,68.004095,70.11022733333334
3,Centro (I),foreign,2021,13.241852666666666,18.102599666666666,15.194500333333332,16.586291333333335,66.44278833333334,71.376057,69.614376,73.098578
4,Centro (I),foreign,2022,12.723967333333334,12.505328999999998,12.980379999999998,13.377199666666668,68.15029766666667,74.44401466666666,70.78958933333332,72.92544633333334
10,Mezzogiorno,foreign,2018,15.570274333333332,17.189989999999998,16.046919666666668,16.964262666666666,66.097724,71.54466500000001,66.715357,67.18787200000001
11,Mezzogiorno,foreign,2019,16.924578999999998,16.836757666666667,17.526526,19.247072666666668,66.05539533333334,65.841146,65.24718566666667,63.178155333333336
12,Mezzogiorno,foreign,2020,19.020708666666668,17.95048733333333,18.871393333333334,18.68959,61.716367,55.00540566666666,59.997374666666666,57.00363733333333
13,Mezzogiorno,foreign,2021,20.928653666666666,19.874336,20.808092666666667,20.727722,63.32046966666667,58.843585999999995,61.88884866666666,59.350414
14,Mezzogiorno,foreign,2022,19.00020566666667,17.563798,18.971048,19.229423333333333,63.44234733333334,60.23582133333334,62.571852,61.26420233333334
20,Nord,foreign,2018,14.491530666666668,9.137413333333333,13.131091333333332,12.781868666666666,68.28975866666667,76.686424,72.931198,78.39547666666667
21,Nord,foreign,2019,13.519575000000001,10.391808,12.223271333333335,11.192228333333333,68.25751766666667,76.713407,72.89959033333334,78.43068433333333
22,Nord,foreign,2020,12.179854666666666,10.897148999999999,12.009306666666667,12.133323666666668,62.08090633333333,71.332343,67.63969300000001,74.937094
23,Nord,foreign,2021,12.367512333333332,11.026851666666667,12.264354333333335,12.495782666666665,64.76965966666667,74.72164566666667,70.15918566666666,76.26109266666667
24,Nord,foreign,2022,10.421101666666667,8.387245333333333,9.768999333333333,9.457003666666667,65.698128,76.511609,71.20747466666667,76.86481666666667
30,Nord-est,foreign,2018,15.381984000000001,9.819867333333333,13.479951999999999,12.619294333333334,67.47383433333333,76.487557,73.37692833333334,79.70873366666666
31,Nord-est,foreign,2019,14.406747000000001,10.068177,12.455571666666666,11.210479,67.704574,76.943319,73.71938033333333,79.93875133333334
32,Nord-est,foreign,2020,12.020517666666668,11.987181333333334,11.897270333333333,11.754628333333335,62.68816133333333,75.43706633333333,70.30411733333334,77.87507633333333
33,Nord-est,foreign,2021,11.021123666666668,9.334387666666666,10.495161,10.315789666666667,63.913195333333334,77.03671733333333,71.090152,77.88256766666666
34,Nord-est,foreign,2022,10.030182333333334,6.208407666666666,8.828886333333333,8.471354333333332,65.19774266666667,78.27626066666666,71.938108,77.516503
40,Nord-ovest,foreign,2018,13.942549999999999,8.657254333333332,12.883017666666667,12.920238,68.80266133333333,76.82749033333334,72.61767233333333,77.31331733333333
41,Nord-ovest,foreign,2019,12.974600333333333,10.642936,12.051909,11.175750666666667,68.60170933333333,76.536952,72.306542,77.10920733333333
42,Nord-ovest,foreign,2020,12.277352666666667,9.928719666666666,12.096274666666668,12.508221999999998,61.71620633333333,68.043631,65.71101433333334,72.23965666666668
43,Nord-ovest,foreign,2021,13.224712666666667,12.471010666666666,13.596371333333332,14.408136999999998,65.327416,72.853186,69.47462033333333,74.89358566666667
44,Nord-ovest,foreign,2022,10.672936333333334,10.163093,10.498555,10.377461,66.026004,75.13189633333333,70.65119133333333,76.266436
